location,area_sqft,bedrooms,bathrooms,balconies,floors,parking,property_age,furnishing_status,property_type,distance_from_city_center,nearby_schools,nearby_hospitals,crime_rate,price
Gurgaon,1040,1,1,1,1,2,12,Semi-Furnished,Apartment,28.0,6,0,2.4,4885000.0
Noida,697,1,1,2,20,1,5,Semi-Furnished,Apartment,2.7,5,2,4.3,3532000.0
Greater Noida,1919,4,3,1,3,1,27,Furnished,Apartment,30.1,0,7,7.1,5655000.0
Ghaziabad,1692,3,3,1,18,1,26,Furnished,Apartment,23.4,3,6,9.3,4515000.0
Ghaziabad,1000,2,2,2,9,2,29,Unfurnished,Apartment,15.8,4,7,8.3,2363000.0
Greater Noida,1571,2,1,1,14,0,4,Unfurnished,Apartment,12.8,7,2,3.7,5570000.0
Faridabad,1249,2,2,3,17,1,16,Unfurnished,Independent House,1.7,3,1,4.9,4270000.0
Gurgaon,1148,2,1,1,23,1,6,Unfurnished,Apartment,29.1,2,6,1.7,4769000.0
Ghaziabad,2594,5,4,1,14,0,5,Unfurnished,Villa,5.9,1,2,1.9,13629000.0
Noida,1843,4,3,2,4,0,1,Furnished,Apartment,11.5,3,3,5.2,8702000.0
Gurgaon,1443,3,2,2,5,2,10,Semi-Furnished,Independent House,20.3,9,3,5.8,8447000.0
Noida,1877,4,3,1,21,2,6,Unfurnished,Builder Floor,9.4,3,5,3.4,8656000.0
Delhi,1225,2,2,2,17,1,21,Furnished,Independent House,17.9,9,3,6.8,7155000.0
Gurgaon,1561,3,3,1,22,2,20,Semi-Furnished,Independent House,28.5,4,6,7.3,7451000.0
Ghaziabad,2052,4,4,1,2,1,7,Furnished,Builder Floor,17.0,6,3,3.7,7980000.0
Gurgaon,1131,2,1,2,23,1,4,Semi-Furnished,Builder Floor,33.3,8,3,7.8,5996000.0
Gurgaon,2247,4,4,1,22,1,26,Semi-Furnished,Builder Floor,29.8,1,7,2.9,9731000.0
Gurgaon,1473,2,2,1,5,2,17,Semi-Furnished,Builder Floor,12.3,4,1,5.9,7802000.0
Faridabad,1108,2,2,2,4,1,21,Semi-Furnished,Apartment,14.6,9,5,8.2,2634000.0
Gurgaon,1034,2,2,3,4,1,15,Semi-Furnished,Apartment,15.4,8,0,5.8,4312000.0
Noida,1866,3,3,1,6,2,13,Furnished,Builder Floor,22.3,2,5,9.2,8112000.0
Delhi,1674,3,2,1,20,1,11,Furnished,Builder Floor,10.8,0,5,1.5,11746000.0
Greater Noida,2386,5,4,2,21,0,16,Unfurnished,Independent House,34.0,1,5,6.3,7679000.0
Gurgaon,1642,3,3,3,13,1,4,Semi-Furnished,Builder Floor,21.7,5,2,6.1,9248000.0
Ghaziabad,2063,4,3,2,22,1,13,Furnished,Villa,14.6,4,0,6.9,10247000.0
Gurgaon,2321,4,3,1,5,2,5,Unfurnished,Apartment,22.9,0,2,8.5,8266000.0
Ghaziabad,1540,2,2,1,23,1,14,Furnished,Apartment,14.4,0,1,7.5,4054000.0
Noida,1486,3,3,1,23,1,6,Semi-Furnished,Apartment,28.8,3,1,8.1,5616000.0
Ghaziabad,1534,2,1,2,7,1,13,Furnished,Apartment,20.3,3,4,3.6,4661000.0
Greater Noida,1609,3,3,2,20,1,17,Unfurnished,Independent House,2.4,5,4,4.5,6913000.0
Delhi,2245,5,4,2,1,1,0,Semi-Furnished,Apartment,7.0,5,7,6.6,15591000.0
Ghaziabad,1466,2,1,3,14,1,5,Furnished,Independent House,30.4,9,1,6.0,5863000.0
Ghaziabad,1939,3,3,0,24,2,2,Unfurnished,Apartment,20.1,5,1,9.6,5083000.0
Delhi,1425,3,2,1,4,0,4,Semi-Furnished,Builder Floor,33.3,0,2,2.7,7446000.0
Greater Noida,1665,3,2,1,17,1,11,Furnished,Builder Floor,3.5,9,7,4.2,8628000.0
Gurgaon,1174,2,1,1,21,1,10,Furnished,Apartment,11.0,8,1,6.2,6540000.0
Ghaziabad,1515,2,2,0,14,1,12,Furnished,Builder Floor,7.6,6,6,8.8,5731000.0
Delhi,910,1,1,0,16,1,15,Furnished,Apartment,19.8,6,0,9.4,4387000.0
Noida,1321,2,2,2,14,1,17,Semi-Furnished,Apartment,14.0,6,2,4.0,5120000.0
Delhi,1178,1,1,2,16,2,16,Unfurnished,Apartment,6.3,1,1,1.6,6456000.0
Noida,1534,3,2,1,24,1,16,Semi-Furnished,Apartment,22.9,1,2,4.8,5496000.0
Greater Noida,1054,2,2,1,20,1,28,Furnished,Apartment,19.2,5,2,4.5,3143000.0
Gurgaon,2342,4,4,1,8,0,10,Furnished,Builder Floor,10.3,6,3,9.9,14660000.0
Delhi,1985,3,3,2,24,2,19,Furnished,Builder Floor,17.3,2,7,4.9,11554000.0
Faridabad,1930,3,3,2,3,1,9,Semi-Furnished,Builder Floor,26.4,3,4,3.8,6106000.0
Ghaziabad,1555,3,2,2,19,1,28,Unfurnished,Apartment,8.0,2,7,4.3,4167000.0
Greater Noida,1546,3,2,1,1,1,15,Furnished,Builder Floor,11.0,6,2,4.6,5918000.0
Delhi,2684,5,4,0,2,1,1,Unfurnished,Apartment,12.8,6,7,8.4,15040000.0
Ghaziabad,1198,1,1,0,15,1,16,Unfurnished,Apartment,26.4,3,5,1.7,2909000.0
Delhi,1019,2,2,2,22,2,21,Semi-Furnished,Independent House,29.8,6,6,3.8,5739000.0
Noida,2068,4,3,2,10,1,29,Unfurnished,Apartment,13.8,4,6,9.7,6478000.0
Delhi,932,1,1,2,18,1,19,Semi-Furnished,Builder Floor,11.1,0,2,2.4,5398000.0
Faridabad,1154,1,1,1,22,1,9,Semi-Furnished,Builder Floor,31.2,9,5,7.7,3292000.0
Delhi,1400,2,1,2,14,1,12,Semi-Furnished,Apartment,35.0,3,6,4.2,7164000.0
Delhi,905,1,1,3,17,1,11,Semi-Furnished,Apartment,23.8,6,3,6.2,4409000.0
Faridabad,1427,3,3,1,13,1,14,Furnished,Apartment,34.7,1,1,1.9,4173000.0
Greater Noida,1466,2,2,1,1,1,6,Semi-Furnished,Independent House,23.4,1,2,3.8,5752000.0
Delhi,2059,4,4,3,5,1,26,Furnished,Apartment,25.9,0,3,5.5,8827000.0
Faridabad,2333,4,3,1,13,1,21,Semi-Furnished,Apartment,14.2,1,7,3.1,5617000.0
Ghaziabad,1500,3,2,3,14,1,20,Furnished,Apartment,15.7,9,0,5.9,4207000.0
Noida,1950,3,2,3,24,2,25,Unfurnished,Builder Floor,5.9,7,7,3.0,7929000.0
Noida,2152,4,3,2,3,1,27,Unfurnished,Apartment,29.0,7,3,6.9,6094000.0
Delhi,1299,2,2,2,15,1,12,Semi-Furnished,Apartment,32.7,7,4,9.1,6505000.0
Greater Noida,2095,4,3,2,19,2,11,Furnished,Builder Floor,22.2,0,4,1.8,7730000.0
Greater Noida,2152,4,3,2,17,0,11,Unfurnished,Villa,12.7,0,1,2.9,9999000.0
Ghaziabad,1529,3,3,1,3,2,27,Unfurnished,Apartment,6.2,9,7,8.6,3916000.0
Delhi,1555,3,3,0,16,2,1,Unfurnished,Apartment,10.0,3,5,6.7,8823000.0
Noida,1073,2,2,1,14,2,4,Furnished,Apartment,9.7,5,1,1.7,5541000.0
Greater Noida,1741,3,2,2,12,2,24,Semi-Furnished,Builder Floor,21.9,7,6,5.4,5080000.0
Delhi,2264,4,4,1,12,1,24,Furnished,Apartment,33.1,1,5,2.9,11075000.0
Greater Noida,689,1,1,0,11,1,1,Furnished,Builder Floor,2.6,2,5,2.8,3448000.0
Faridabad,2378,4,3,1,17,1,22,Unfurnished,Independent House,1.0,5,5,9.5,8919000.0
Greater Noida,1454,2,1,2,8,1,25,Unfurnished,Independent House,21.4,9,5,7.9,4701000.0
Noida,1331,2,2,3,17,0,29,Semi-Furnished,Apartment,10.7,3,4,7.3,4794000.0
Gurgaon,1347,2,1,3,21,1,19,Unfurnished,Independent House,30.9,1,7,3.2,6079000.0
Ghaziabad,832,1,1,1,23,1,12,Semi-Furnished,Builder Floor,12.1,6,6,2.1,2891000.0
Ghaziabad,1997,3,3,2,20,2,28,Semi-Furnished,Builder Floor,10.9,3,4,8.8,5737000.0
Noida,1101,2,1,2,11,2,2,Semi-Furnished,Apartment,10.2,7,2,1.1,5432000.0
Greater Noida,2680,5,5,1,2,2,10,Unfurnished,Villa,5.9,7,6,4.5,14591000.0
Delhi,1613,3,2,2,10,1,15,Furnished,Apartment,20.8,6,4,3.5,8415000.0
Greater Noida,1107,2,1,1,10,2,0,Unfurnished,Apartment,6.7,9,1,6.1,4019000.0
Noida,1564,3,2,3,11,2,18,Unfurnished,Apartment,15.4,8,4,3.3,5519000.0
Ghaziabad,2134,4,4,1,6,1,10,Furnished,Builder Floor,16.7,3,6,3.8,7125000.0
Greater Noida,1485,3,2,1,4,1,8,Semi-Furnished,Apartment,1.7,6,6,8.7,6103000.0
Ghaziabad,1023,1,1,2,24,2,13,Unfurnished,Apartment,1.6,9,1,6.4,3234000.0
Delhi,2163,4,4,1,12,2,8,Semi-Furnished,Apartment,18.7,9,0,2.3,11146000.0
Ghaziabad,1859,4,4,1,11,1,6,Unfurnished,Apartment,24.7,0,7,7.5,4497000.0
Ghaziabad,1481,2,2,2,23,0,15,Unfurnished,Builder Floor,33.0,3,6,2.9,4284000.0
Gurgaon,849,1,1,0,23,1,2,Semi-Furnished,Builder Floor,7.1,1,4,4.9,4851000.0
Gurgaon,1959,3,2,2,13,0,28,Semi-Furnished,Apartment,4.5,8,1,6.8,8892000.0
Faridabad,1116,2,1,1,5,2,18,Unfurnished,Apartment,2.8,4,5,3.4,3380000.0
Gurgaon,2344,4,3,2,6,2,3,Semi-Furnished,Builder Floor,15.8,2,7,4.5,12255000.0
Ghaziabad,1043,2,2,2,1,0,6,Furnished,Apartment,22.2,3,6,7.6,3228000.0
Noida,2308,4,4,1,6,1,22,Furnished,Apartment,29.6,5,7,9.4,8912000.0
Ghaziabad,1564,3,2,2,18,0,27,Semi-Furnished,Villa,24.2,9,7,5.8,6514000.0
Noida,1367,2,2,2,22,1,11,Unfurnished,Builder Floor,8.1,0,3,1.1,5723000.0
Noida,1291,2,2,2,9,1,29,Unfurnished,Apartment,16.7,6,7,4.0,4349000.0
Gurgaon,1685,3,2,2,24,1,17,Semi-Furnished,Builder Floor,32.0,7,5,4.6,8234000.0
Greater Noida,2003,4,3,2,15,1,27,Furnished,Apartment,12.1,6,2,4.1,6536000.0
Delhi,2323,4,4,1,8,0,4,Furnished,Builder Floor,18.0,6,7,4.9,16850000.0
Gurgaon,1120,2,2,1,19,1,22,Unfurnished,Apartment,33.6,8,6,6.7,4528000.0
Gurgaon,1187,2,2,3,24,0,22,Furnished,Apartment,26.0,3,1,2.1,5778000.0
Greater Noida,612,1,1,1,16,1,21,Furnished,Apartment,26.4,6,5,3.5,1939000.0
Delhi,1599,3,2,1,6,0,25,Furnished,Villa,9.6,8,4,5.6,13369000.0
Ghaziabad,1185,1,1,1,6,1,9,Semi-Furnished,Independent House,15.1,4,4,3.8,4519000.0
Faridabad,1855,3,2,1,22,2,11,Unfurnished,Apartment,3.8,1,6,9.9,5282000.0
Faridabad,1847,3,2,1,3,2,7,Furnished,Apartment,21.6,4,0,4.9,5138000.0
Ghaziabad,2270,5,5,3,10,2,18,Semi-Furnished,Independent House,4.5,3,3,8.8,9228000.0
Gurgaon,1589,2,2,1,1,2,14,Semi-Furnished,Apartment,29.4,7,6,9.1,6921000.0
Delhi,1129,2,2,1,14,0,0,Unfurnished,Apartment,28.7,4,1,8.5,5259000.0
Gurgaon,1442,3,2,3,4,0,2,Furnished,Villa,19.1,8,5,1.4,13376000.0
Noida,1919,3,2,3,12,1,26,Semi-Furnished,Apartment,5.8,8,3,9.5,7560000.0
Gurgaon,1012,2,1,1,6,2,17,Semi-Furnished,Builder Floor,1.9,2,0,2.2,5493000.0
Gurgaon,2334,4,4,1,11,2,17,Unfurnished,Villa,28.1,9,6,1.3,16855000.0
Ghaziabad,2101,4,3,2,12,0,29,Semi-Furnished,Apartment,21.4,5,2,4.7,5126000.0
Ghaziabad,1526,2,1,2,10,1,29,Furnished,Apartment,25.2,5,3,2.8,4086000.0
Ghaziabad,1572,2,2,2,18,1,1,Semi-Furnished,Apartment,11.3,3,0,2.7,5456000.0
Faridabad,1514,3,2,2,7,1,4,Unfurnished,Independent House,18.3,9,6,3.6,5623000.0
Noida,2259,4,4,2,7,1,28,Furnished,Independent House,26.4,2,7,3.2,10869000.0
Ghaziabad,1104,1,1,1,11,0,0,Unfurnished,Independent House,16.7,0,6,7.2,3811000.0
Delhi,1707,3,2,2,4,1,9,Furnished,Apartment,21.4,6,1,2.7,10056000.0
Faridabad,1724,3,3,1,20,1,19,Semi-Furnished,Independent House,27.9,4,6,5.9,5715000.0
Greater Noida,1578,2,2,2,1,1,29,Semi-Furnished,Villa,8.3,9,2,9.9,6840000.0
Delhi,1574,3,3,2,13,0,9,Unfurnished,Builder Floor,3.2,6,6,4.9,11202000.0
Delhi,2713,5,5,0,18,2,4,Semi-Furnished,Villa,19.1,0,4,6.8,21104000.0
Ghaziabad,771,1,1,1,9,1,17,Unfurnished,Independent House,3.1,7,0,9.7,2578000.0
Greater Noida,1501,2,2,1,24,2,20,Unfurnished,Builder Floor,27.1,2,7,2.2,4497000.0
Greater Noida,1733,3,2,1,24,2,25,Semi-Furnished,Builder Floor,25.5,6,4,4.8,5443000.0
Faridabad,2083,4,3,2,9,0,14,Unfurnished,Apartment,31.0,2,6,8.7,4800000.0
Greater Noida,2674,5,5,1,23,0,19,Unfurnished,Apartment,22.7,2,2,9.4,6028000.0
Noida,1453,3,2,2,9,1,7,Furnished,Builder Floor,3.3,9,0,6.4,8798000.0
Ghaziabad,2257,4,4,0,10,0,16,Semi-Furnished,Apartment,9.6,8,0,2.3,6602000.0
Greater Noida,1978,3,2,2,2,2,11,Unfurnished,Independent House,28.5,1,6,9.1,6431000.0
Faridabad,1819,3,3,2,6,1,20,Furnished,Villa,6.7,3,2,2.6,9754000.0
Noida,1408,2,1,2,15,2,29,Unfurnished,Independent House,24.7,5,1,4.2,5426000.0
Gurgaon,1303,2,1,1,3,1,29,Unfurnished,Apartment,27.5,2,7,4.4,4644000.0
Gurgaon,1558,2,1,3,11,1,26,Furnished,Apartment,12.2,9,0,5.0,6799000.0
Noida,1621,3,2,1,6,1,11,Semi-Furnished,Apartment,12.0,9,7,8.1,6798000.0
Faridabad,1132,1,1,0,3,0,25,Semi-Furnished,Builder Floor,20.0,6,2,8.2,3021000.0
Noida,1957,4,4,1,24,1,0,Semi-Furnished,Independent House,30.3,6,3,7.5,10604000.0
Ghaziabad,1347,2,2,0,11,2,25,Furnished,Villa,8.6,4,4,1.2,7338000.0
Ghaziabad,1158,2,2,3,15,1,25,Furnished,Apartment,33.0,2,0,6.1,2710000.0
Gurgaon,1634,3,2,1,13,1,3,Semi-Furnished,Villa,21.4,1,3,7.7,10766000.0
Greater Noida,1804,3,3,2,20,0,7,Unfurnished,Independent House,34.7,3,0,5.0,6044000.0
Faridabad,856,1,1,2,10,1,0,Unfurnished,Apartment,4.0,3,1,9.5,2548000.0
Gurgaon,1588,2,1,1,6,2,26,Semi-Furnished,Independent House,5.3,7,6,8.4,9194000.0
Greater Noida,2796,5,4,2,15,2,14,Furnished,Apartment,29.1,7,2,6.7,8932000.0
Greater Noida,1557,2,2,0,18,1,17,Semi-Furnished,Apartment,30.4,4,0,1.6,4703000.0
Ghaziabad,1046,2,1,1,18,2,0,Furnished,Builder Floor,16.1,5,2,6.9,3804000.0
Delhi,2012,4,4,0,7,1,10,Unfurnished,Apartment,25.3,7,5,9.2,9477000.0
Delhi,1078,1,1,3,15,1,22,Unfurnished,Builder Floor,30.5,0,0,4.4,4761000.0
Noida,1886,3,2,3,18,1,1,Unfurnished,Builder Floor,2.5,4,1,8.5,9567000.0
Ghaziabad,1570,2,1,1,18,2,0,Unfurnished,Builder Floor,20.5,3,1,3.8,4981000.0
Greater Noida,1565,2,2,1,20,0,11,Furnished,Apartment,30.0,3,6,6.1,5566000.0
Faridabad,1341,2,2,2,9,1,15,Unfurnished,Builder Floor,14.5,1,6,6.8,3336000.0
Delhi,1123,1,1,1,24,1,21,Semi-Furnished,Builder Floor,11.3,9,3,7.1,5723000.0
Greater Noida,1502,2,2,2,2,1,21,Unfurnished,Builder Floor,28.1,0,1,8.9,3473000.0
Delhi,605,1,1,2,8,1,9,Furnished,Apartment,12.4,5,2,3.1,3695000.0
Delhi,1943,4,4,1,20,1,17,Unfurnished,Apartment,1.1,6,5,3.4,12177000.0
Delhi,1260,2,1,2,2,0,14,Unfurnished,Builder Floor,33.6,4,7,7.3,6572000.0
Faridabad,1984,3,3,1,11,1,16,Furnished,Apartment,21.1,7,1,2.6,6147000.0
Ghaziabad,2031,4,4,3,7,1,29,Semi-Furnished,Builder Floor,28.9,8,0,5.2,4967000.0
Faridabad,1669,3,3,3,6,1,9,Unfurnished,Independent House,29.1,1,7,1.2,5673000.0
Gurgaon,1046,1,1,1,10,1,2,Semi-Furnished,Builder Floor,3.3,3,7,2.3,7156000.0
Greater Noida,2421,5,4,0,5,0,25,Furnished,Builder Floor,6.8,8,1,7.1,9894000.0
Ghaziabad,1051,2,1,3,11,2,29,Furnished,Villa,11.6,4,5,7.7,4585000.0
Ghaziabad,1115,2,2,3,1,1,20,Furnished,Independent House,11.9,2,2,2.0,4040000.0
Ghaziabad,2337,4,4,0,2,0,15,Unfurnished,Villa,23.4,5,0,3.0,8949000.0
Ghaziabad,1964,3,3,2,24,1,5,Semi-Furnished,Independent House,22.2,2,3,1.9,7718000.0
Faridabad,1940,3,2,1,1,2,2,Furnished,Apartment,17.8,4,3,4.9,5928000.0
Ghaziabad,1018,2,1,1,19,2,8,Semi-Furnished,Apartment,8.2,2,3,2.1,3251000.0
Noida,1791,3,2,2,2,1,10,Semi-Furnished,Builder Floor,14.0,5,6,4.9,8680000.0
Greater Noida,1418,2,1,1,21,1,20,Furnished,Apartment,19.5,9,0,7.6,4587000.0
Ghaziabad,2108,4,3,3,20,0,12,Semi-Furnished,Apartment,16.9,4,7,7.2,5359000.0
Greater Noida,1185,2,1,1,23,0,17,Semi-Furnished,Apartment,5.3,8,3,3.5,4647000.0
Noida,2060,4,4,2,21,1,25,Semi-Furnished,Builder Floor,23.1,2,6,7.1,6891000.0
Noida,1927,3,2,1,24,1,21,Unfurnished,Independent House,3.5,5,1,9.3,8859000.0
Greater Noida,2072,4,3,1,4,1,27,Furnished,Independent House,13.9,7,7,4.1,8684000.0
Delhi,1559,3,3,2,12,1,23,Semi-Furnished,Builder Floor,25.1,6,0,4.0,7508000.0
Gurgaon,1623,3,2,1,22,0,26,Semi-Furnished,Independent House,1.7,5,0,6.1,10124000.0
Delhi,1255,2,2,1,20,1,21,Semi-Furnished,Apartment,20.4,1,0,3.2,5379000.0
Delhi,1179,2,1,1,18,0,3,Semi-Furnished,Independent House,12.4,6,4,6.9,8607000.0
Faridabad,1019,2,2,0,1,0,21,Semi-Furnished,Apartment,1.3,7,6,8.5,3299000.0
Delhi,2267,4,4,2,1,1,23,Unfurnished,Villa,7.5,0,7,5.1,16774000.0
Ghaziabad,2009,4,4,1,24,1,7,Semi-Furnished,Builder Floor,33.0,8,2,7.1,6245000.0
Faridabad,1912,3,3,2,14,1,12,Semi-Furnished,Apartment,18.7,3,4,6.9,4625000.0
Faridabad,1057,2,2,1,4,1,9,Unfurnished,Apartment,34.9,7,4,1.3,2936000.0
Noida,1092,2,1,1,5,0,1,Semi-Furnished,Apartment,18.8,9,4,2.7,4959000.0
Delhi,1620,3,2,1,11,0,7,Furnished,Apartment,19.5,6,2,9.0,9099000.0
Noida,1631,3,3,1,24,1,5,Furnished,Apartment,14.3,9,4,9.5,7422000.0
Greater Noida,2163,4,4,1,23,0,15,Furnished,Builder Floor,11.5,6,3,8.0,8268000.0
Gurgaon,2761,5,5,2,13,1,17,Unfurnished,Builder Floor,9.6,1,0,9.3,12080000.0
Faridabad,1373,2,1,2,16,0,16,Unfurnished,Builder Floor,12.7,0,7,3.8,3570000.0
Greater Noida,1855,3,3,1,24,1,5,Unfurnished,Villa,16.6,3,7,3.2,9560000.0
Greater Noida,1487,3,3,0,13,0,12,Semi-Furnished,Builder Floor,7.5,1,0,4.5,5605000.0
Ghaziabad,1019,2,2,1,24,0,22,Semi-Furnished,Builder Floor,8.6,7,6,1.5,3454000.0
Gurgaon,1013,2,2,1,22,1,13,Furnished,Apartment,10.2,9,1,8.3,5356000.0
Greater Noida,732,1,1,1,2,2,29,Semi-Furnished,Independent House,16.3,6,5,9.9,2591000.0
Greater Noida,1833,4,4,1,16,0,25,Semi-Furnished,Apartment,23.2,7,3,8.4,4782000.0
Gurgaon,1607,3,3,1,6,1,20,Unfurnished,Villa,30.1,5,2,6.0,9609000.0
Gurgaon,1598,3,2,1,14,1,29,Furnished,Independent House,10.8,0,5,3.7,9712000.0
Greater Noida,2391,4,4,0,1,1,9,Semi-Furnished,Builder Floor,7.2,8,0,2.8,10405000.0
Gurgaon,2382,4,4,0,17,2,23,Semi-Furnished,Apartment,13.9,5,4,4.3,10101000.0
Greater Noida,1154,2,1,1,11,0,10,Semi-Furnished,Independent House,31.4,9,7,7.0,4640000.0
Greater Noida,1989,3,2,1,19,2,12,Semi-Furnished,Independent House,1.3,0,6,5.0,10112000.0
Ghaziabad,1477,3,2,1,3,1,11,Unfurnished,Apartment,24.0,0,6,9.4,3677000.0
Delhi,1971,4,4,1,11,1,8,Furnished,Apartment,17.2,7,1,8.7,10891000.0
Greater Noida,1688,3,3,1,5,2,3,Unfurnished,Independent House,6.5,5,1,1.9,8739000.0
Noida,1944,3,2,1,17,1,6,Semi-Furnished,Apartment,11.9,7,0,2.2,8536000.0
Faridabad,1419,2,1,1,22,1,23,Unfurnished,Villa,8.6,7,3,7.1,5538000.0
Delhi,1806,4,3,1,7,1,28,Unfurnished,Apartment,30.8,7,6,3.1,7850000.0
Delhi,759,1,1,0,10,1,21,Semi-Furnished,Apartment,17.4,9,5,8.1,3234000.0
Delhi,1239,2,2,1,11,0,1,Furnished,Independent House,20.1,6,1,6.3,8990000.0
Ghaziabad,1422,2,1,2,3,1,6,Unfurnished,Apartment,21.2,6,7,3.1,4076000.0
Greater Noida,1135,1,1,1,20,0,28,Semi-Furnished,Builder Floor,22.7,9,7,5.3,3730000.0
Ghaziabad,1069,2,1,1,10,2,8,Unfurnished,Apartment,17.8,3,0,4.7,2814000.0
Greater Noida,2015,4,4,2,10,2,4,Furnished,Apartment,1.6,8,3,8.9,9534000.0
Ghaziabad,2303,5,5,1,14,1,14,Semi-Furnished,Builder Floor,12.4,1,0,1.3,6974000.0
Ghaziabad,1053,2,2,1,12,1,17,Unfurnished,Builder Floor,7.3,8,0,9.1,2986000.0
Faridabad,1329,2,2,2,15,0,3,Unfurnished,Builder Floor,24.1,9,3,6.9,3743000.0
Noida,1202,2,1,2,10,0,18,Semi-Furnished,Independent House,2.9,2,3,7.6,6480000.0
Ghaziabad,1287,2,2,1,10,2,19,Unfurnished,Builder Floor,20.2,1,3,1.0,3284000.0
Faridabad,644,1,1,1,19,0,25,Semi-Furnished,Apartment,8.2,3,7,6.7,1694000.0
Gurgaon,1997,4,3,1,1,1,6,Furnished,Apartment,33.3,4,7,6.3,10312000.0
Noida,1215,2,2,0,24,2,25,Semi-Furnished,Villa,12.4,1,0,5.8,6290000.0
Ghaziabad,1880,3,2,2,10,2,7,Semi-Furnished,Independent House,12.1,0,1,8.1,6866000.0
Delhi,908,1,1,0,2,1,16,Unfurnished,Builder Floor,32.4,9,2,6.0,4536000.0
Gurgaon,2234,4,4,1,17,1,12,Semi-Furnished,Apartment,15.2,4,2,8.7,9483000.0
Gurgaon,1731,3,3,3,24,1,23,Furnished,Apartment,33.7,8,0,3.1,7725000.0
Faridabad,2226,5,4,3,7,2,20,Furnished,Independent House,1.8,4,0,8.3,8508000.0
Gurgaon,1965,4,3,1,7,1,27,Semi-Furnished,Independent House,11.4,9,1,2.6,10451000.0
Noida,1317,2,1,2,20,1,22,Semi-Furnished,Builder Floor,23.7,8,3,8.3,4546000.0
Ghaziabad,1273,2,2,1,9,0,10,Unfurnished,Independent House,31.3,9,0,9.5,3625000.0
Ghaziabad,1782,3,2,2,22,0,26,Semi-Furnished,Independent House,9.7,5,6,4.0,6235000.0
Delhi,1364,2,1,1,2,1,0,Unfurnished,Apartment,32.6,2,7,5.8,6396000.0
Faridabad,1502,3,2,0,14,2,1,Unfurnished,Apartment,21.2,3,4,6.9,3672000.0
Delhi,1102,1,1,1,17,2,16,Semi-Furnished,Apartment,28.2,3,3,1.7,5527000.0
Gurgaon,972,1,1,1,1,2,4,Unfurnished,Apartment,14.5,0,6,5.4,4565000.0
Delhi,1644,3,3,1,9,1,29,Unfurnished,Independent House,8.2,2,7,4.2,10246000.0
Noida,1568,3,3,2,20,1,29,Semi-Furnished,Apartment,32.0,2,0,8.9,4201000.0
Ghaziabad,2217,4,3,2,21,2,5,Furnished,Builder Floor,32.7,0,4,8.9,7093000.0
Gurgaon,1355,2,2,1,19,1,25,Semi-Furnished,Apartment,17.9,8,6,7.3,5729000.0
Delhi,1877,3,2,1,4,1,24,Semi-Furnished,Apartment,1.2,0,5,6.9,9423000.0
Faridabad,1124,2,2,0,8,1,23,Unfurnished,Apartment,4.7,8,1,7.6,3105000.0
Noida,1136,1,1,2,13,2,6,Semi-Furnished,Apartment,20.5,0,7,4.3,4290000.0
Noida,1801,3,2,3,4,1,27,Unfurnished,Builder Floor,1.8,1,4,4.6,8083000.0
Delhi,1516,2,1,3,9,2,20,Semi-Furnished,Apartment,14.5,1,0,6.0,6912000.0
Ghaziabad,1530,2,1,2,9,1,29,Furnished,Builder Floor,11.3,5,2,9.4,4993000.0
Delhi,1253,2,2,1,22,1,14,Unfurnished,Apartment,25.3,6,6,7.5,5810000.0
Gurgaon,1120,2,2,0,18,1,18,Semi-Furnished,Apartment,2.9,0,0,6.0,5086000.0
Delhi,631,1,1,2,12,1,15,Semi-Furnished,Apartment,17.6,2,2,7.9,2620000.0
Noida,636,1,1,3,10,1,24,Semi-Furnished,Builder Floor,20.7,1,1,4.3,2129000.0
Delhi,1341,2,2,1,11,2,12,Furnished,Builder Floor,22.0,7,1,7.6,7403000.0
Ghaziabad,612,1,1,0,7,1,4,Semi-Furnished,Apartment,14.8,8,3,4.7,1820000.0
Faridabad,1582,3,3,2,9,1,2,Semi-Furnished,Apartment,11.3,1,6,3.5,4762000.0
Greater Noida,1264,2,1,0,6,1,2,Semi-Furnished,Independent House,24.2,1,3,6.5,5236000.0
Delhi,1087,2,2,1,19,1,18,Unfurnished,Apartment,29.8,9,2,7.2,4266000.0
Ghaziabad,1461,2,1,2,16,1,13,Semi-Furnished,Apartment,24.6,8,2,5.1,3926000.0
Ghaziabad,1445,3,3,1,15,1,15,Furnished,Independent House,32.7,3,1,6.1,5073000.0
Faridabad,2191,4,4,0,7,2,21,Semi-Furnished,Builder Floor,25.4,4,4,7.2,5786000.0
Noida,1918,4,3,2,16,1,16,Unfurnished,Apartment,27.0,8,2,7.9,5860000.0
Ghaziabad,1930,3,2,2,5,1,26,Furnished,Villa,6.7,5,2,9.1,10083000.0
Ghaziabad,1846,3,2,3,16,1,3,Furnished,Independent House,15.3,9,6,4.2,8405000.0
Ghaziabad,1445,3,3,1,1,1,12,Furnished,Apartment,17.5,8,4,9.6,4382000.0
Ghaziabad,1907,3,3,0,19,2,7,Furnished,Builder Floor,9.7,8,3,6.7,7120000.0
Gurgaon,1557,2,2,2,5,1,18,Unfurnished,Builder Floor,19.0,6,3,8.1,6603000.0
Gurgaon,1525,2,1,1,7,2,4,Unfurnished,Apartment,10.9,9,2,7.3,7804000.0
Noida,1596,2,2,1,19,1,1,Semi-Furnished,Apartment,24.4,8,6,2.9,6617000.0
